Temps (s),AccMs.RsolZ,VitMs.RsolZ,DepMs.RsolZ,AccMns.RlgZ,VitMns.RlgZ,DepMns.RlgZ,PtR.RlgZ,Tyre.Defl,NLG.v,NLG.d,NLG.Ftot,NLG.Fhyd,Tyre.FTyre,NLG.FFriJoi,NLG.FGas,NLG.FFriBag,PtB.RlgZ,PtGb.RlgZ,PtGt.RlgZ,NLG.XGb,NLG.XGt,Tyre.Alpha,Tyre.Omega,TR_sl.RsolX,Tyre.Mu,Tyre.Slip,VGR,Total friction,Metering pin Damping factor,Tyre.Omega,Ac Vz,NLG.Pc,Fx ptB (kN) /lg,Fz ptB (kN)/lg,M/y ptB (N.m) /lg,Fx ptB (kN) /sol,Fy ptB (kN) /sol,Fz ptB (kN)/sol,M/x ptB (N.m) /sol,M/y ptB (N.m) /sol,M/z ptB (N.m) /sol,NLG.Pd,NLG.Pg,,Tyre.FSpin,Tyre.Vitx,Tyre.Depx,,,,,,,,,,,,,
0.01,4.0745873384119795,-3.0455280940292546,-0.03207351334678817,-10.174239295871454,-1.8428187947900263,-0.0236344795149205,0.15636552048507946,0.0260100231225045,1.1564408842264766,0.007943805095337026,7359.930044710903,5838.926479293095,7252.505780626125,190.7989623594509,847.6656438532981,583.642409866268,20.97850587169791,0.6354217153897425,0.7963655204850795,-2136.741139353651,1599.4048120547097,5304.672857178127,33.746894525660274,1824.4380531407867,0.30843407307181886,0.8560153946186525,537.3363272989411,774.441372225719,4366.024140628677,322.25910466557934,-3.0455280940292546,53.04464229132096,537.3363272989411,7459.134264720564,-761.8973518715176,1.8244380531407867,0,7.252505780626125,0,-761.8973518715176,0,39.12366966786545,4.317125673869647,0,2236.919897895427,2.2638146504994467,0.012013747333529364,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0105,4.254646278145635,-3.043400770890182,-0.033595213732233266,-0.3165384419247251,-1.8429770640109886,-0.024555968046925992,0.15544403195307396,0.02691751217313537,1.1541876106849933,0.008520898900679523,7541.397216277498,5914.86605862017,7479.378043283843,191.61304140495048,851.634945201148,687.9118672818961,20.97850587169791,0.6339231330523944,0.795444031953074,-2522.9685969288844,1886.2308536880412,5519.874445646986,36.50683174848377,1965.3765972282515,0.31305632550331336,0.8440095441472381,636.7377432408432,879.5249086868466,4440.093321461487,348.61456376371996,-3.043400770890182,53.8066673743345,636.7377432408432,7707.033549273125,-862.8540749345502,1.9653765972282513,0,7.479378043283842,0,-862.8540749345502,0,39.933020764409264,4.337341159633859,0,2341.4666072806017,2.349132893756842,0.013188313780407785,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,4.4237032443656945,-3.041188919267999,-0.035115808191867263,10.16793946082665,-1.8378930942805753,-0.02547491459406628,0.15452508540593368,0.027822497857362904,1.157093331789368,0.009099445566574207,7723.635162137485,5987.291741981111,7705.624464340726,192.23865390342036,855.6461971129612,794.9116472253418,20.97850587169791,0.6324256398393595,0.7945250854059337,-2916.5190190126486,2177.8219628152747,5739.853381781736,39.37675843937464,2108.802145254956,0.31785334675667365,0.8315497486839646,738.6970561973737,987.1503011287621,4471.916017115327,376.0203449137188,-3.041188919267999,54.48433542615663,738.6970561973737,7954.748363866926,-966.0696919078175,2.1088021452549555,0,7.705624464340726,0,-966.0696919078175,0,40.54964582687428,4.35777029786592,0,2449.2585248408004,2.428981396663203,0.014402804478739387,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0115,4.593089938695392,-3.0388923742986513,-0.03663525437901659,20.77668727401533,-1.8275047506435678,-0.026388666969388064,0.1536113330306119,0.028722368280913124,1.1652200201354208,0.009682055576641917,7915.468083780196,6066.302100511767,7930.592070228281,192.7695953062417,859.7183256444557,904.9347830266419,20.97850587169791,0.63092927745397,0.7936113330306119,-3316.779639275157,2473.6850617563514,5964.421177450134,42.35896902809971,2254.4780253230115,0.32282878813394905,0.8186265243274051,843.0945775188054,1097.7043783328836,4467.948500952834,404.498358305914,-3.0388923742986513,55.17248932016288,843.0945775188054,8201.59455742543,-1071.4018238216652,2.2544780253230114,0,7.930592070228281,0,-1071.4018238216652,0,41.066438472387105,4.378509478176093,0,2560.223427216502,2.50347335738293,0.01565454115743085,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,4.771927749361688,-3.0365064104239705,-0.03815350758422857,29.644958822720582,-1.8126822712322075,-0.027295008105004168,0.15270499189499578,0.029614940058141748,1.1776927838245883,0.010270901968554211,8123.139141461473,6157.967709539257,8226.194565769734,193.28789549078468,863.8677743596625,1005.9655102391324,20.97850587169791,0.6294340899264416,0.7927049918949959,-3678.719873750969,2740.238761443208,6248.487443607911,45.483212749903664,2403.458746691994,0.3279861549945547,0.80523076624791,938.4811123077607,1199.2534057299172,4439.9019498226735,434.3326882108492,-3.0365064104239705,55.936697263652825,938.4811123077607,8518.576417617638,-1170.6833726820603,2.4034587466919937,0,8.226194565769735,0,-1170.6833726820603,0,41.565819345059914,4.399642446948299,0,2698.0779258639154,2.576674661102551,0.016942878487982125,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0125,4.968736513488078,-3.0340220421672264,-0.039670518605312184,49.581254664800326,-1.7878916438998074,-0.028188953926954072,0.15181104607304588,0.030495304834370907,1.2000367860364096,0.010870920361572417,8357.102851802058,6283.071859468849,8550.020808086549,193.81757998016647,868.1312387070268,1107.9532294617363,20.97850587169791,0.6279401257114735,0.791811046073046,-4031.703846449248,2999.39287778842,6543.581489492625,48.755003494649976,2555.835383404207,0.33241284119824877,0.7912260320063683,1032.3109686608282,1301.7708094419029,4362.976848378012,465.5759883981705,-3.0340220421672264,56.916476760489616,1032.3109686608282,8863.942936964138,-1269.3881430062345,2.5558353834042067,0,8.550020808086549,0,-1269.3881430062345,0,42.06566958879768,4.42135609256683,0,2842.1367091201964,2.6490637638134755,0.018267410369888864,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013000000000000001,5.192941636315774,-3.0314255713490685,-0.04118623139098672,68.49483822439349,-1.7536442247876107,-0.029065776039347877,0.15093422396065206,0.031358806048668864,1.2317271805564145,0.011486783951850625,8637.42607443935,6452.9601353115495,8867.644094492689,194.46931518359642,872.5447792644532,1217.4296181677455,20.97850587169791,0.6264474400088015,0.7909342239606522,-4397.468187994541,3267.2722508479874,6829.184033037947,52.16959551116895,2711.235940402905,0.33643847636820295,0.7765873586610803,1130.1959371465534,1411.8989333513418,4253.338350214787,498.1829402824376,-3.0314255713490685,58.22055809933208,1130.1959371465534,9203.725835485371,-1371.5322686064872,2.7112359404029047,0,8.86764409449269,0,-1371.5322686064872,0,42.67696823545947,4.4438340700468615,0,2983.416668126613,2.71962173158945,0.019627221235683587,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0135,5.464215915482312,-3.028693463391327,-0.04270057812268238,77.72033125967118,-1.7147840591577752,-0.029923168068926764,0.15007683193107318,0.032203172366769006,1.2678967450874,0.012120732324394324,8966.298001057401,6664.574602729063,9178.22895580486,195.35324476651624,877.1280760109059,1333.3818517030256,20.97850587169791,0.6249560996066789,0.7900768319310733,-4775.642259406937,3543.5210919185015,7115.828262167063,55.72750964225248,2869.4980225635686,0.34063223110231644,0.7613373414461222,1232.1211674884357,1528.735096469542,4145.764801075939,532.1585175459445,-3.028693463391327,59.866280226276395,1232.1211674884357,9537.074137034793,-1477.0572813730007,2.869498022563569,0,9.178228955804862,0,-1477.0572813730007,0,43.51470150253781,4.46717660869822,0,3126.4006067836935,2.7881307524443657,0.02102128661190577,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,5.784819572628247,-3.025801053605013,-0.04421347864948489,77.77272697088029,-1.675897695672335,-0.03076111691676293,0.14923888308323702,0.033028390888745734,1.3039346409903894,0.012772699644889519,9331.749251523404,6907.203860936904,9481.770647019,196.51061939574925,881.8846720002285,1454.245230685993,20.97850587169791,0.6234661834383475,0.7892388830832371,-5165.353481827594,3827.42443291714,7403.730437507733,59.429374861006345,3030.4607510376677,0.3449943508076695,0.745475087972111,1337.9290489104537,1650.7558500817422,4062.474310939669,567.5087264394228,-3.025801053605013,61.79945528065807,1337.9290489104537,9863.95523237674,-1585.8027732211074,3.0304607510376678,0,9.481770647019001,0,-1585.8027732211074,0,44.624569978855654,4.491401753145957,0,3271.1573088755363,2.8544111627268687,0.022448492193269203,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0145,6.142438294110124,-3.022729834457958,-0.04572484356671387,70.68514155964415,-1.640555124892513,-0.031581394479209185,0.14841860552079075,0.03383620659186476,1.3362526513429922,0.013440825970561015,9717.554106450209,7166.207293659754,9778.911026426293,197.92434222103674,886.8050176888996,1578.2652689734643,20.97850587169791,0.6219777795502297,0.7884186055207908,-5565.421135142362,4118.056618568749,7693.50530442888,63.276127513220786,3193.9783031344573,0.34952499459791253,0.7290000196439546,1447.364516573613,1776.1896111945011,4013.3977863603372,604.2425084065301,-3.022729834457958,63.92149173183839,1447.364516573613,10184.975906688196,-1697.543027730053,3.1939783031344566,0,9.778911026426293,0,-1697.543027730053,0,45.99283821057314,4.516460867964289,0,3417.973823685117,2.918357214318857,0.023907670800428632,0,0,0,0,0,0,0,0,0,0,0,0,0
