Temps (s),AccMs.RsolZ (m/s²),VitMs.RsolZ (m/s),DepMs.RsolZ (m),AlY (rad/s²),OmY (rad/s),ThAY (rad),ThRY (rad),Tyre.Defl (m),Tyre.FTyre (N),MLG.v (m/s),MLG.d (m),MLG.Ftot (N),MLG.Fhyd (N),MLG.FFriJoi (N),MLG.FGas (N),TA_bal.RsolZ (N),TA_bal.RsolX (N),MLG.Entraxe (m),Section de la BH (mm²),Course centre roue (m),Tyre.Alpha (rad/s²),Tyre.Omega (rad/s),TR_bal.RsolX (N),Tyre.Mu,Tyre.Slip,MLG.Pc (bar),MLG.Pd (bar),MLG.Pg (bar),MLG.DeltaPc (bar),MLG.DeltaPd (bar),Hydrau.Qc total (m³/s),Hydrau.Qc rainures BH (m³/s),Hydrau.Qc fuite annulaire (m³/s),Hydrau.Part fuite (-),Hydrau.Re fuite annulaire (-),Hydrau.Erreur convergence (-),Hydrau.Itérations convergence (-),Reaction sol verticale (N),Reaction sol horizontale (N),Torseur.Resultante X (N),Torseur.Resultante Y (N),Torseur.Resultante Z (N),Torseur.Resultante norme (N),Torseur@C (rotule).Effort X (N),Torseur@C (rotule).Effort Y (N),Torseur@C (rotule).Effort Z (N),Torseur@B (pivot).Effort X (N),Torseur@B (pivot).Effort Y (N),Torseur@B (pivot).Effort Z (N),Torseur@B (pivot).Moment X (N·m),Torseur@B (pivot).Moment Z (N·m),Énergie.Cinétique masse susp. (J),Énergie.Cinétique rotation balancier (J),Énergie.Cinétique rotation roue (J),Énergie.Cinétique horizontale roue (J),Énergie.Stockée gaz (J),Énergie.Stockée pneu vertical (J),Énergie.Stockée ressort horizontal (J),Énergie.Dissipée hydraulique (J),Énergie.Dissipée friction joint (J),Énergie.Dissipée amortisseur horizontal (J),Énergie.Dissipée glissement pneu (J),Énergie.Emmagasinée butée (J),Énergie.Apport total (J),Énergie.Résidu de bilan (J)
0.45252000000000003,-3.237308,0.8603201444521522,0.2031635027917391,-1.237425504945908,1.0966899714107925,-0.6412845044051272,-0.6402414411565239,-0.22383198094087592,-0.01,-0.2919649961722707,0.035073890363339744,-4.644394071374407,-2648.4135386772023,-104.13691117064748,2747.9060557764756,-4.559561679919384,-0.8836252470524254,0.5504216262719288,23.558990800313765,-0.22433152185085925,0.012205501837694413,178.95732540485326,0.004655394548129727,0.46555705597060654,-0.36218946501141164,11.400997767932523,58.93928230733157,13.994970621727346,-2.5939728537948215,-47.53828453939904,-0.0004540313681046879,-0.0004540313681046879,0.0,0.0,0.0,0.0,0.0,-0.01,0.004655394548129727,0.004655394548129688,0.0,-0.009999999999999787,0.011030534819252934,-0.8836252470524254,-0.0,-4.559561679919384,0.8882806416005551,0.0,4.5495616799193845,0.0016000000000000014,0.0007448631277007569,462.59421934385756,0.6013644466965025,2724.5884961886804,8.231299911312694e-17,82.77091340736372,0.011684440780885673,1.0866235683725206e-11,4587.349379630889,70.4302519939347,170.35094844801915,4134.775532763186,0.06350900623617524,12231.197646952904,-2.3386527167513123
0.45288,-3.237308,0.8591547135721522,0.20347290337740426,-1.2343707941358637,1.0962453232254152,-0.6408898160951524,-0.6398467528465491,-0.22407544309106325,-0.01,-0.2917879324585796,0.034968830779841364,-4.633867905103514,-2645.2608665190955,-104.06953812775426,2744.696536741746,-4.549074629332017,-0.8824124765188917,0.5505266858554272,23.558990800313765,-0.2243974602863371,0.012208402246787249,178.9573297996172,0.004653927487051938,0.4654136739112652,-0.3625618859447658,11.387732804342374,58.86941321169658,13.978624675508955,-2.5908918711665807,-47.48168040735421,-0.00045375601838392403,-0.00045375601838392403,0.0,0.0,0.0,0.0,0.0,-0.01,0.004653927487051938,0.0046539274870519565,0.0,-0.009999999999999787,0.011029915731986962,-0.8824124765188917,-0.0,-4.549074629332017,0.8870664040059436,0.0,4.539074629332017,0.0016000000000000014,0.0007446283979283107,461.3417636582794,0.6008769043467975,2724.5886300074376,8.307820914387792e-17,82.48238817852832,0.011686875402387546,1.0859536248426396e-11,4587.6274552041705,70.44118903448619,170.35094844801915,4134.775464710761,0.06350900623617524,12229.945684162081,-2.3382278655972186
0.45324000000000003,-3.237308,0.8579892826921522,0.20378188440795264,-1.2313259827449177,1.0958017720608546,-0.6404952875622486,-0.6394522243136453,-0.22431854731437811,-0.01,-0.2916112202026403,0.034863834844360064,-4.623374442923264,-2642.1163057872245,-104.00233824890235,2741.4952695932034,-4.538620296232315,-0.8812020461302307,0.5506316817909085,23.558990800313765,-0.22446333709357058,0.01221129429689878,178.95733419542307,0.004652456121175625,0.4652705026166159,-0.36293375943736134,11.37450194664928,58.799723870670924,13.96232075580181,-2.5878188091525294,-47.42522192402164,-0.0004534812152110202,-0.0004534812152110202,0.0,0.0,0.0,0.0,0.0,-0.01,0.004652456121175625,0.004652456121175597,0.0,-0.009999999999999787,0.011029294989230273,-0.8812020461302307,-0.0,-4.538620296232315,0.8858545022514063,0.0,4.528620296232315,0.0016000000000000014,0.0007443929793881006,460.09100575912123,0.6003907618258546,2724.588763857924,8.379499906304853e-17,82.19437429938239,0.011689306444620694,1.0852809474801941e-11,4587.905031719767,70.45211238427288,170.35094844801915,4134.775396606316,0.06350900623617524,12228.695419133364,-2.337803015954705
0.4536,-3.237308,0.8568238518121523,0.2040904458833842,-1.2282910386004535,1.0953593143627494,-0.6401009184124484,-0.6390578551638452,-0.2245612935129016,-0.01,-0.2914348582276164,0.034758902430688576,-4.612913546455303,-2638.979824525728,-103.93531085159182,2738.3022218308643,-4.528198542115355,-0.8799939489878404,0.55073661420458,23.558990800313765,-0.22452915237047866,0.012214178004936255,178.9573385922678,0.004650981303243494,0.46512754214434265,-0.3633050853393698,11.361305060521646,58.730213576092765,13.946058697084858,-2.584753636563212,-47.368908515571114,-0.0004532069567558919,-0.0004532069567558919,0.0,0.0,0.0,0.0,0.0,-0.01,0.004650981303243494,0.004650981303243484,0.0,-0.009999999999999787,0.011028672952042608,-0.8799939489878404,-0.0,-4.528198542115355,0.8846449302910839,0.0,4.518198542115355,0.0016000000000000014,0.0007441570085189597,458.8419456463832,0.5999060137806161,2724.5888977400464,8.445370353167908e-17,81.90687015191394,0.01169173390660593,1.0846057749697834e-11,4588.182110761216,70.46302208311641,170.35094844801915,4134.775328449971,0.06350900623617524,12227.446851866787,-2.337378167812858
0.45396000000000003,-3.237308,0.8556584209321523,0.204398587803699,-1.2252659150453644,1.0949179465927676,-0.6397067082530593,-0.638663645004456,-0.22480368158905378,-0.01,-0.2912588453616058,0.034654033413042074,-4.602485067724771,-2635.8513909373582,-103.86845525676249,2735.117361126396,-4.5178092190708545,-0.8787881762449293,0.5508414832222265,23.558990800313765,-0.2245949062146413,0.012217053387790928,178.95734299014842,0.004649503907370046,0.4649847925519298,-0.363675863501481,11.348142012347338,58.66088162336807,13.929838334711249,-2.581696322363911,-47.31273961102073,-0.00045293324119612783,-0.00045293324119612783,0.0,0.0,0.0,0.0,0.0,-0.01,0.004649503907370046,0.004649503907370067,0.0,-0.009999999999999787,0.011028049990122699,-0.8787881762449293,-0.0,-4.5178092190708545,0.8834376801522994,0.0,4.507809219070855,0.0016000000000000014,0.0007439206251792081,457.5945833200652,0.5994226548854614,2724.5890316537148,8.504582651243604e-17,81.61987412544622,0.011694157787367451,1.0839283779683688e-11,4588.458693904866,70.47391817066475,170.35094844801915,4134.775260241848,0.06350900623617524,12226.199982362377,-2.33695332116622
0.45432,-3.237308,0.8544929900521523,0.20470631016889695,-1.2222505541074409,1.0944776652310957,-0.6393126566926581,-0.6382695934440549,-0.2250457114455921,-0.01,-0.2910831804388743,0.0345492276660565,-4.592088872030942,-2632.7309734048795,-103.80177078913998,2731.9406553219883,-4.5074521922338935,-0.8775847214692585,0.550946288969212,23.558990800313765,-0.2246605987233009,0.01221992046233797,178.95734738906194,0.00464802481713994,0.4648422538966632,-0.36404609377490077,11.335012669207037,58.59172731182822,13.9136595049026,-2.5786468356955634,-47.25671464262119,-0.00045266006671890825,-0.00045266006671890825,0.0,0.0,0.0,0.0,0.0,-0.01,0.00464802481713994,0.004648024817139884,0.0,-0.009999999999999787,0.01102742647677798,-0.8775847214692585,-0.0,-4.5074521922338935,0.8822327462863984,0.0,4.497452192233894,0.0016000000000000014,0.000743683970742391,456.3489187801673,0.5989406798448552,2724.589165598838,8.556412197954843e-17,81.33338461659551,0.011696578085932835,1.0832490539894245e-11,4588.734782719914,70.48480068639316,170.35094844801915,4134.775191982067,0.06350900623617524,12224.954810620166,-2.3365284760056966
0.45468000000000003,-3.237308,0.8533275591721523,0.20501361297897813,-1.219244907425405,1.094038466774066,-0.6389187633410846,-0.6378757000924813,-0.22528738298561019,-0.01,-0.2909078622949214,0.034444485064787034,-4.581724749470993,-2629.6185404029357,-103.73525677578203,2728.7720724292467,-4.4971272529401585,-0.8763835637310537,0.5510510315704815,23.558990800313765,-0.2247262299933639,0.012222779245436388,178.95735178900534,0.0046465449142451,0.4646999262356305,-0.3644157760113494,11.321916898954724,58.52274994322807,13.897522044743361,-2.575605145788638,-47.200833044273345,-0.0004523874315133319,-0.0004523874315133319,0.0,0.0,0.0,0.0,0.0,-0.01,0.0046465449142451,0.004646544914245099,0.0,-0.009999999999999787,0.011026802784129801,-0.8763835637310537,-0.0,-4.4971272529401585,0.8810301086452988,0.0,4.487127252940159,0.0016000000000000014,0.0007434471862792166,455.1049520266895,0.5984600833906745,2724.5892995753243,8.600265326094114e-17,81.0474000292293,0.011698994801333016,1.0825681222413544e-11,4589.01037876845,70.49566966960516,170.35094844801915,4134.775123670749,0.06350900623617524,12223.71133664018,-2.3361036323240114
0.45504000000000006,-3.237308,0.8521621282921523,0.20532049623394252,-1.21624895410917,1.0936003477328058,-0.6385250278094347,-0.6374819645608314,-0.2255286961125355,-0.01,-0.2907328897763486,0.034339805484704056,-4.57139259372623,-2626.51406067279,-103.66891254894433,2725.611580628008,-4.48683429421759,-0.8751847017675659,0.5511557111505645,23.558990800313765,-0.22479180012140298,0.01222562975392899,178.95735618997568,0.004645065067770403,0.464557809625723,-0.36478491006305713,11.308854570040863,58.45394882470644,13.881425792174769,-2.5725712221339063,-47.14509425466557,-0.0004521153337857623,-0.0004521153337857623,0.0,0.0,0.0,0.0,0.0,-0.01,0.004645065067770403,0.004645065067770404,0.0,-0.009999999999999787,0.011026179278599483,-0.8751847017675659,-0.0,-4.48683429421759,0.8798297668353363,0.0,4.47683429421759,0.0016000000000000014,0.0007432104108432652,453.8626830596317,0.5979808602806569,2724.5894335830835,8.635682963720805e-17,80.7619187744182,0.011701407932602268,1.0818859184863416e-11,4589.285483605507,70.5065251594338,170.35094844801915,4134.775055308015,0.06350900623617524,12222.46956042245,-2.3356787901175267
0.4554,-3.237308,0.8509966974121523,0.2056269599337901,-1.2132626239392215,1.0931633046371512,-0.6381314497100562,-0.6370883864614529,-0.2257696507301285,-0.01,-0.2905582617334584,0.034235188801693406,-4.561092268914891,-2623.417503090316,-103.60273744390624,2722.4591482653077,-4.4765731800893285,-0.8739881285578788,0.5512603278335751,23.558990800313765,-0.22485730920365754,0.012228472004642265,178.95736059197,0.004643586124223827,0.4644159041236357,-0.36515349578276446,11.29582555163617,58.38532326653982,13.865370585989597,-2.569545034353425,-47.08949771490365,-0.0004518437717483183,-0.0004518437717483183,0.0,0.0,0.0,0.0,0.0,-0.01,0.004643586124223827,0.004643586124223775,0.0,-0.009999999999999787,0.011025556316716147,-0.8739881285578788,-0.0,-4.4765731800893285,0.8786317146821025,0.0,4.466573180089329,0.0016000000000000014,0.000742973779875813,452.622111878994,0.5975030053026085,2724.5895676220257,8.662341953317715e-17,80.4769392703997,0.0117038174787782,1.0812027899818677e-11,4589.5600987790895,70.5173671948423,170.35094844801915,4134.774986893984,0.06350900623617524,12221.229481967008,-2.3352539493735094
0.45576000000000005,-3.237308,0.8498312665321524,0.20593300407852086,-1.2102858656354096,1.0927273340336485,-0.637738028656542,-0.6366949654079388,-0.226010246742481,-0.01,-0.29038397701963703,0.034130634892054146,-4.55082359914428,-2620.328836654631,-103.53673079877836,2719.3147438542655,-4.466343735324736,-0.8727938292941737,0.5513648817432144,23.558990800313765,-0.22492275733603573,0.012231306014386354,178.95736499498528,0.004642108898392462,0.46427420978586853,-0.36552153302371804,11.282829713637042,58.31687258194367,13.849356265826483,-2.5665265521894396,-47.03404286830662,-0.00045157274361791406,-0.00045157274361791406,0.0,0.0,0.0,0.0,0.0,-0.01,0.004642108898392462,0.00464210889839245,0.0,-0.009999999999999787,0.011024934241279179,-0.8727938292941737,-0.0,-4.466343735324736,0.8774359381925662,0.0,4.456343735324737,0.0016000000000000014,0.0007427374237427946,451.38323848477637,0.5970265132721424,2724.589701692059,8.680054035108384e-17,80.19245994253535,0.011706223438901724,1.080519090562616e-11,4589.834225830219,70.52819581462502,170.35094844801915,4134.774918428777,0.06350900623617524,12219.991101273881,-2.3348291100883216
0.45612,-3.237308,0.8486658356521524,0.20623862866813483,-1.2073186675941896,1.0922924324803218,-0.6373447642637243,-0.6363017010151211,-0.22625048405401432,-0.01,-0.2902100344944388,0.03402614363249501,-4.54058642475664,-2617.2480305423196,-103.47089195538823,2716.178336072951,-4.456145800645924,-0.8716017921447725,0.5514693730027735,23.558990800313765,-0.22498814461411643,0.012234131799954969,178.9573693990186,0.004640634165091239,0.4641327266687275,-0.36588902163966874,11.269866926606767,58.24859608798717,13.833382672164143,-2.563515745557377,-46.9787291613804,-0.00045130224762105576,-0.00045130224762105576,0.0,0.0,0.0,0.0,0.0,-0.01,0.004640634165091239,0.004640634165091195,0.0,-0.009999999999999787,0.011024313377902833,-0.8716017921447725,-0.0,-4.456145800645924,0.8762424263098637,0.0,4.446145800645924,0.0016000000000000014,0.0007425014664145988,450.1460628769788,0.5965513790268892,2724.589835793094,8.688762567886439e-17,79.90847922326479,0.011708625812017058,1.0798351759155213e-11,4590.107866292984,70.53901105740884,170.35094844801915,4134.774849912515,0.06350900623617524,12218.7544183431,-2.3344042722510494
